region,universityName,admissionGroup,departmentName,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,percentile70,ratioKor,ratioMath,ratioEng,ratioTam
경남,가야대학교,다군,간호학과,35,4.11,91,37.0,,38.0,37.5,0.2,0.35,0.15,0.3
경남,가야대학교,다군,물리치료학과,6,2.83,11,61.0,62.0,51.0,58.0,0.2,0.35,0.15,0.3
경남,가야대학교,다군,방사선학과,6,3.5,15,42.0,,41.0,41.5,0.25,0.3,0.2,0.25
경남,가야대학교,다군,특수교육과,10,0.7,,23.0,,69.0,46.0,0.3,0.25,0.2,0.25
강원,가톨릭관동대학교,나군,건축공학 전공,8,3.4,5,,62.0,47.0,52.0,0.2,0.35,0.15,0.3
강원,가톨릭관동대학교,나군,경영학전 공,12,2.3,14,,47.0,47.5,47.3,0.3,0.25,0.2,0.25
강원,가톨릭관동대학교,나군,디지털헬 스케어전 공,7,1.9,6,22.0,,47.0,38.7,0.25,0.3,0.2,0.25
강원,가톨릭관동대학교,나군,사회복지 학전공,15,1.2,2,40.0,,49.0,46.0,0.3,0.25,0.2,0.25
강원,가톨릭관동대학교,나군,스포츠레 저학전공,11,4.5,2,49.0,32.0,50.0,45.2,0.25,0.3,0.2,0.25
강원,가톨릭관동대학교,나군,조리외식 경영학전 공,12,1.6,6,,28.0,31.5,30.3,0.3,0.25,0.2,0.25
강원,가톨릭관동대학교,나군,항공교통 물류전공,10,1.6,4,63.0,54.0,,58.5,0.2,0.35,0.15,0.3
강원,가톨릭관동대학교,나군,항공정비 학전공,10,2.8,9,33.0,43.0,,38.0,0.2,0.35,0.15,0.3
강원,가톨릭관동대학교,나군,행정학전 공,9,2,9,49.0,50.0,,49.5,0.3,0.25,0.2,0.25
강원,가톨릭관동대학교,나군,호텔관광 경영학전 공,11,1.7,5,,39.0,33.0,35.0,0.3,0.25,0.2,0.25
경기,가톨릭대학교,나군,간호학과,32,3.97,8,,,,89.33,0.2,0.35,0.15,0.3
경기,가톨릭대학교,나군,데이터사이언스학과,14,7.07,9,,,,80.67,0.2,0.35,0.15,0.3
경기,가톨릭대학교,다군,바이오메디컬 소프트웨어학과,10,6.90,6,,,,83.67,0.2,0.35,0.15,0.3
경기,가톨릭대학교,가군,약학과,10,9.10,15,,,,97.0,0.2,0.35,0.15,0.3
경기,가톨릭대학교,가군,의생명과학과,17,3.00,14,,,,85.67,0.2,0.35,0.15,0.3
경기,가톨릭대학교,가군,의예과,37,3.27,6,,,,99.33,0.2,0.35,0.15,0.3
경기,가톨릭대학교,가군,인공지능학과,15,4.27,17,,,,83.0,0.2,0.35,0.15,0.3
경기,가톨릭대학교,가군,인문사회계열,57,7.42,66,,,,90.5,0.3,0.25,0.2,0.25
경기,가톨릭대학교,다군,자연공학계열,37,9.57,62,,,,91.0,0.2,0.35,0.15,0.3
경기,가톨릭대학교,나군,자유전공학부,57,5.30,26,,,,92.0,0.2,0.35,0.15,0.3
경기,가톨릭대학교,가군,특수교육과,12,5.50,10,,,,80.0,0.3,0.25,0.2,0.25
경기,강남대학교,다군,교육학과,11,7.36,35,80.0,34.0,79.0,68.0,0.3,0.25,0.2,0.25
경기,강남대학교,나군,글로벌문화콘텐츠대학,73,4.99,55,79.0,25.0,69.5,60.8,0.3,0.25,0.2,0.25
경기,강남대학교,나군,법행정세무학부,33,5.61,38,77.0,59.0,65.0,66.5,0.3,0.25,0.2,0.25
경기,강남대학교,가군,법행정세무학부(야),28,6.74,29,75.0,59.0,49.0,58.0,0.3,0.25,0.2,0.25
경기,강남대학교,가군,복지융합대학,47,5.67,69,75.0,43.0,74.5,66.8,0.3,0.25,0.2,0.25
경기,강남대학교,나군,부동산건설학부,42,4.4,26,26.0,81.0,65.0,59.2,0.25,0.3,0.2,0.25
경기,강남대학교,나군,사회복지학부(야),15,6.2,17,63.0,42.0,81.0,66.8,0.3,0.25,0.2,0.25
경기,강남대학교,가군,상경학부,48,5.28,64,56.0,83.0,73.0,71.2,0.25,0.3,0.2,0.25
경기,강남대학교,다군,상경학부(야),34,7.69,24,56.0,66.0,70.5,65.8,0.25,0.3,0.2,0.25
경기,강남대학교,가군,유아교육과,13,5.5,14,77.0,37.0,55.0,56.0,0.3,0.25,0.2,0.25
경기,강남대학교,다군,인공지능융합공학부,37,6.38,61,60.0,85.0,55.5,64.0,0.2,0.35,0.15,0.3
경기,강남대학교,다군,자유전공학부,56,8.06,74,70.0,63.0,77.0,71.8,0.2,0.35,0.15,0.3
경기,강남대학교,나군,전자반도체공학부,37,4.43,35,61.0,83.0,54.5,63.2,0.2,0.35,0.15,0.3
경기,강남대학교,나군,중등특수교육과,5,4.2,3,83.0,29.0,81.0,68.5,0.3,0.25,0.2,0.25
경기,강남대학교,나군,초등특수교육과,5,5.8,4,60.0,78.0,64.0,66.5,0.3,0.25,0.2,0.25
경기,강남대학교,가군,컴퓨터공학부,38,6.5,46,14.0,81.0,62.0,54.8,0.2,0.35,0.15,0.3
서울,강서대학교,다군,G2빅데이터경영학과,5,8.4,4,,,,73.0,0.2,0.35,0.15,0.3
서울,강서대학교,다군,간호학과,6,7.67,3,,,,76.0,0.2,0.35,0.15,0.3
서울,강서대학교,다군,사회복지학과,7,7,13,,,,70.0,0.3,0.25,0.2,0.25
서울,강서대학교,다군,상담심리학과,5,9,8,,,,77.0,0.3,0.25,0.2,0.25
서울,강서대학교,다군,식품영양학과,6,8,15,,,,73.0,0.2,0.35,0.15,0.3
서울,강서대학교,나군,신학과,6,5,11,,,,66.0,0.3,0.25,0.2,0.25
강원,강원대학교,,간호학과,28,3.14,10,70.0,74.0,88.5,80.2,0.2,0.35,0.15,0.3
강원,강원대학교,가군,건축·토목·환경공학부,30,4.97,17,49.0,81.0,64.0,64.5,0.2,0.35,0.15,0.3
강원,강원대학교,가군,건축학과(5년제),7,5.29,4,58.0,78.0,76.5,72.2,0.2,0.35,0.15,0.3
강원,강원대학교,가군,경영·회계학부,55,6.29,29,75.0,56.0,87.0,76.2,0.3,0.25,0.2,0.25
강원,강원대학교,가군,경영대학 무전공학과,12,6.17,6,79.0,57.0,74.0,71.0,0.2,0.35,0.15,0.3
강원,강원대학교,가군,경제·정보통계학부,19,6.11,10,77.0,54.0,90.0,77.8,0.2,0.35,0.15,0.3
강원,강원대학교,가군,관광경영학과,6,5.17,1,72.0,46.0,86.0,72.5,0.3,0.25,0.2,0.25
강원,강원대학교,가군,국제무역학과,9,6.78,5,75.0,57.0,76.5,71.2,0.3,0.25,0.2,0.25
강원,강원대학교,가군,기계의용· 메카트로닉스공학과,25,4.64,17,58.0,83.0,58.5,64.5,0.2,0.35,0.15,0.3
강원,강원대학교,가군,동물산업융합학과,9,5.89,5,67.0,81.0,54.0,64.0,0.25,0.3,0.2,0.25
강원,강원대학교,가군,동물응용과학과,9,4.44,7,86.0,74.0,58.5,69.2,0.2,0.35,0.15,0.3
강원,강원대학교,가군,동물자원과학과,12,7.33,6,63.0,70.0,70.0,68.2,0.2,0.35,0.15,0.3
강원,강원대학교,가군,문화인류학과,6,9.83,3,56.0,83.0,76.0,72.8,0.3,0.25,0.2,0.25
강원,강원대학교,가군,미디어커뮤니케이션학과,5,6.80,2,80.0,50.0,97.0,81.0,0.3,0.25,0.2,0.25
강원,강원대학교,가군,배터리융합공학과,7,3.14,4,70.0,76.0,52.0,62.5,0.2,0.35,0.15,0.3
강원,강원대학교,가군,부동산학과,7,4.57,5,86.0,54.0,65.5,67.8,0.25,0.3,0.2,0.25
강원,강원대학교,가군,분자생명과학과,7,6.29,6,65.0,66.0,73.0,69.2,0.2,0.35,0.15,0.3
강원,강원대학교,가군,사회학과,7,9.14,4,70.0,70.0,69.5,69.8,0.3,0.25,0.2,0.25
강원,강원대학교,가군,생명건강공학과,5,5.40,1,67.0,68.0,68.5,68.0,0.2,0.35,0.15,0.3
강원,강원대학교,가군,생물의소재공학과,4,6.75,1,61.0,74.0,67.0,67.2,0.2,0.35,0.15,0.3
강원,강원대학교,,생물자원과학부,9,5.00,2,56.0,70.0,79.5,71.2,0.2,0.35,0.15,0.3
강원,강원대학교,가군,수의예과,10,10.40,10,93.0,98.0,96.0,95.8,0.2,0.35,0.15,0.3
강원,강원대학교,가군,스마트산업공학과,6,4.50,5,68.0,74.0,60.5,65.8,0.2,0.35,0.15,0.3
강원,강원대학교,,스마트팜융합바이오시스템공학과,5,5.80,4,47.0,74.0,75.0,67.8,0.2,0.35,0.15,0.3
강원,강원대학교,가군,스포츠과학과,11,6.36,2,60.0,,67.5,65.0,0.2,0.35,0.15,0.3
강원,강원대학교,,식품생명공학과,7,6.14,3,60.0,62.0,86.0,73.5,0.2,0.35,0.15,0.3
강원,강원대학교,가군,약학과,12,9.42,10,95.0,95.0,97.5,96.2,0.2,0.35,0.15,0.3
강원,강원대학교,가군,에너지자원공학과,8,3.50,4,58.0,74.0,69.0,67.5,0.2,0.35,0.15,0.3
강원,강원대학교,가군,영상문화학과,13,5.00,3,74.0,59.0,82.0,74.2,0.2,0.35,0.15,0.3
강원,강원대학교,,원예·농업자원경제학부,7,4.71,3,56.0,78.0,80.0,73.5,0.2,0.35,0.15,0.3
강원,강원대학교,가군,의생명융합학부,15,4.80,10,58.0,74.0,63.5,64.8,0.2,0.35,0.15,0.3
강원,강원대학교,가군,의예과,16,8.88,15,98.0,99.0,96.0,97.2,0.2,0.35,0.15,0.3
강원,강원대학교,가군,정치외교학과,7,5.86,4,82.0,57.0,82.5,76.0,0.2,0.35,0.15,0.3
강원,강원대학교,,지역건설공학과,4,7.00,1,61.0,81.0,69.5,70.2,0.2,0.35,0.15,0.3
강원,강원대학교,가군,행정·심리학부,21,7.14,7,79.0,48.0,83.5,73.5,0.3,0.25,0.2,0.25
강원,강원대학교,가군,화공·생물공학부,20,3.70,13,40.0,66.0,89.5,71.2,0.2,0.35,0.15,0.3
서울,건국대학교,가군,KU자유전공학부,62,6.2,46,94.0,85.0,96.0,92.8,0.2,0.35,0.15,0.3
서울,건국대학교,가군,건축학부,39,6.6,55,93.0,90.0,85.0,88.2,0.2,0.35,0.15,0.3
서울,건국대학교,가군,경영학과,67,4.5,81,88.0,90.0,94.0,91.5,0.3,0.25,0.2,0.25
서울,건국대학교,가군,경제학과,33,6.2,32,89.0,90.0,93.5,91.5,0.3,0.25,0.2,0.25
서울,건국대학교,가군,국어국문학과,6,9.3,6,94.0,78.0,94.5,90.2,0.3,0.25,0.2,0.25
서울,건국대학교,가군,국제무역학과,32,7.4,42,88.0,97.0,76.0,84.2,0.3,0.25,0.2,0.25
서울,건국대학교,가군,기계‧로봇‧ 자동차공학부,39,4.5,47,92.0,95.0,82.5,88.0,0.2,0.35,0.15,0.3
서울,건국대학교,가군,기술경영학과,15,5.9,30,92.0,92.0,82.5,87.2,0.3,0.25,0.2,0.25
서울,건국대학교,가군,동물자원‧식품과학‧유통학부,45,4.9,18,94.0,92.0,84.5,88.8,0.2,0.35,0.15,0.3
서울,건국대학교,가군,문화콘텐츠학과,6,8.3,9,98.0,81.0,81.0,85.2,0.3,0.25,0.2,0.25
서울,건국대학교,가군,물리학과,12,6.8,10,91.0,97.0,77.5,85.8,0.2,0.35,0.15,0.3
서울,건국대학교,가군,부동산학과,14,4.2,5,85.0,93.0,91.0,90.0,0.25,0.3,0.2,0.25
서울,건국대학교,가군,사학과,5,7.4,1,96.0,78.0,87.5,87.2,0.3,0.25,0.2,0.25
서울,건국대학교,가군,사회환경공학부,42,4.7,41,93.0,93.0,80.0,86.5,0.2,0.35,0.15,0.3
서울,건국대학교,가군,산업공학과,16,4.4,29,82.0,97.0,87.5,88.5,0.2,0.35,0.15,0.3
서울,건국대학교,가군,생물공학과,17,6.6,18,93.0,97.0,71.5,83.2,0.2,0.35,0.15,0.3
서울,건국대학교,가군,수의예과,39,6.0,50,99.0,99.0,88.5,93.8,0.2,0.35,0.15,0.3
서울,건국대학교,가군,수학과,8,5.6,11,79.0,96.0,93.0,90.2,0.2,0.35,0.15,0.3
서울,건국대학교,가군,수학교육과,9,6.7,8,85.0,98.0,79.0,85.2,0.2,0.35,0.15,0.3
서울,건국대학교,가군,영상학과,35,12.6,2,67.0,,82.0,77.0,0.25,0.3,0.2,0.25
서울,건국대학교,가군,영어교육과,8,7.5,11,97.0,87.0,79.0,85.5,0.3,0.25,0.2,0.25
서울,건국대학교,가군,영어영문학과,6,11.2,5,96.0,85.0,89.5,90.0,0.3,0.25,0.2,0.25
서울,건국대학교,가군,응용통계학과,18,7.7,21,88.0,90.0,92.5,90.8,0.2,0.35,0.15,0.3
서울,건국대학교,가군,재료공학과,26,4.6,37,79.0,97.0,95.5,91.8,0.2,0.35,0.15,0.3
서울,건국대학교,가군,전기전자공학부,66,4.2,63,98.0,90.0,85.0,89.5,0.2,0.35,0.15,0.3
서울,건국대학교,가군,정치외교학과,13,7.5,10,88.0,95.0,83.0,87.2,0.2,0.35,0.15,0.3
서울,건국대학교,가군,중어중문학과,5,7.8,0,96.0,78.0,88.5,87.8,0.3,0.25,0.2,0.25
서울,건국대학교,가군,첨단바이오공학부,20,6.7,37,94.0,93.0,88.5,91.0,0.2,0.35,0.15,0.3
서울,건국대학교,가군,컴퓨터공학부,50,4.8,45,97.0,92.0,86.5,90.5,0.2,0.35,0.15,0.3
서울,건국대학교,가군,항공우주‧ 모빌리티공학과,25,5.1,18,89.0,97.0,78.5,85.8,0.2,0.35,0.15,0.3
서울,건국대학교,가군,행정학과,27,5.9,15,89.0,85.0,97.0,92.0,0.3,0.25,0.2,0.25
서울,건국대학교,가군,현대미술학과,32,4.9,4,61.0,,70.0,67.0,0.3,0.25,0.2,0.25
서울,건국대학교,가군,화공학부,31,4.5,33,95.0,92.0,86.0,89.8,0.2,0.35,0.15,0.3
서울,건국대학교,가군,화학과,9,6.1,13,82.0,95.0,91.5,90.0,0.2,0.35,0.15,0.3
서울,건국대학교,가군,환경보건‧산림조경학부,23,6.1,13,85.0,95.0,88.5,89.2,0.2,0.35,0.15,0.3
경기,경기대학교,다군,AI컴퓨터공학부,3,7.00,6,83.0,81.0,78.0,80.7,0.2,0.35,0.15,0.3
경기,경기대학교,나군,AI컴퓨터공학부 SW안전보안전공,20,9.80,11,75.0,87.0,59.0,73.7,0.2,0.35,0.15,0.3
경기,경기대학교,나군,AI컴퓨터공학부 인공지능전공,10,5.80,6,70.0,81.0,85.0,78.7,0.2,0.35,0.15,0.3
경기,경기대학교,나군,건축학과(5년제),7,9.14,5,77.0,85.0,55.0,72.3,0.2,0.35,0.15,0.3
경기,경기대학교,나군,경영학부,79,5.65,82,68.0,78.0,85.0,77.0,0.3,0.25,0.2,0.25
경기,경기대학교,나군,경제학부,34,6.52,38,72.0,78.0,85.0,78.3,0.3,0.25,0.2,0.25
경기,경기대학교,나군,공공안전학부,14,5.85,16,88.0,59.0,90.0,79.0,0.25,0.3,0.2,0.25
