universityName,departmentName,ratioKo,ratioMath,ratioEn,ratioTg,cutoffPercentile70,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,region,admissionGroup,dataSource
가야대학교,간호학과,0.2,0.35,0.15,0.3,37.5,35,4.11,91,37.0,,38.0,경남,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가야대학교,물리치료학과,0.2,0.35,0.15,0.3,58.0,6,2.83,11,61.0,62.0,51.0,경남,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가야대학교,방사선학과,0.25,0.3,0.2,0.25,41.5,6,3.5,15,42.0,,41.0,경남,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가야대학교,특수교육과,0.3,0.25,0.2,0.25,46.0,10,0.7,,23.0,,69.0,경남,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭관동대학교,건축공학 전공,0.2,0.35,0.15,0.3,52.0,8,3.4,5,,62.0,47.0,강원,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭관동대학교,경영학전 공,0.3,0.25,0.2,0.25,47.3,12,2.3,14,,47.0,47.5,강원,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭관동대학교,디지털헬 스케어전 공,0.25,0.3,0.2,0.25,38.7,7,1.9,6,22.0,,47.0,강원,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭관동대학교,사회복지 학전공,0.3,0.25,0.2,0.25,46.0,15,1.2,2,40.0,,49.0,강원,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭관동대학교,스포츠레 저학전공,0.25,0.3,0.2,0.25,45.2,11,4.5,2,49.0,32.0,50.0,강원,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭관동대학교,조리외식 경영학전 공,0.3,0.25,0.2,0.25,30.3,12,1.6,6,,28.0,31.5,강원,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭관동대학교,항공교통 물류전공,0.2,0.35,0.15,0.3,58.5,10,1.6,4,63.0,54.0,,강원,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭관동대학교,항공정비 학전공,0.2,0.35,0.15,0.3,38.0,10,2.8,9,33.0,43.0,,강원,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭관동대학교,행정학전 공,0.3,0.25,0.2,0.25,49.5,9,2,9,49.0,50.0,,강원,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭관동대학교,호텔관광 경영학전 공,0.3,0.25,0.2,0.25,35.0,11,1.7,5,,39.0,33.0,강원,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,간호학과,0.2,0.35,0.15,0.3,89.33,32,3.97,8,,,,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,데이터사이언스학과,0.2,0.35,0.15,0.3,80.67,14,7.07,9,,,,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,바이오메디컬 소프트웨어학과,0.2,0.35,0.15,0.3,83.67,10,6.90,6,,,,경기,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,약학과,0.2,0.35,0.15,0.3,97.0,10,9.10,15,,,,경기,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,의생명과학과,0.2,0.35,0.15,0.3,85.67,17,3.00,14,,,,경기,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,의예과,0.2,0.35,0.15,0.3,99.33,37,3.27,6,,,,경기,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,인공지능학과,0.2,0.35,0.15,0.3,83.0,15,4.27,17,,,,경기,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,인문사회계열,0.3,0.25,0.2,0.25,90.5,57,7.42,66,,,,경기,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,자연공학계열,0.2,0.35,0.15,0.3,91.0,37,9.57,62,,,,경기,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,자유전공학부,0.2,0.35,0.15,0.3,92.0,57,5.30,26,,,,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
가톨릭대학교,특수교육과,0.3,0.25,0.2,0.25,80.0,12,5.50,10,,,,경기,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강남대학교,교육학과,0.3,0.25,0.2,0.25,68.0,11,7.36,35,80.0,34.0,79.0,경기,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
강남대학교,글로벌문화콘텐츠대학,0.3,0.25,0.2,0.25,60.8,73,4.99,55,79.0,25.0,69.5,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
