universityName,admissionType,departmentName,grade50,grade70
가천대학교,10,경제학과,,4.06
가천대학교,10,도시계획·조경학부,,3.51
가천대학교,10,심리학과,,4.82
가천대학교,10,운동재활학과,,4.66
가천대학교,10,회계세무학과,,3.93
가천대학교,11,건축학부,,3.94
가천대학교,11,관광경영학과,,5.07
가천대학교,11,응용통계학과,,5.03
가천대학교,12,미디어커뮤니케이션학과,,5.33
가천대학교,12,반도체물리학과,,5.47
가천대학교,12,사회복지학과,,5.0
가천대학교,12,약학과,,2.69
가천대학교,12,의료산업경영학과,,4.85
가천대학교,12,화학과,,4.71
가천대학교,13,건축학부,,3.3
가천대학교,13,바이오나노학과,,4.24
가천대학교,13,생명과학과,,4.36
가천대학교,13,스마트시티학과,,5.64
가천대학교,13,식품생명공학과,,4.34
가천대학교,13,식품영양학과,,4.88
가천대학교,13,신소재공학과,,4.24
가천대학교,13,의공학과,,5.5
가천대학교,13,토목환경공학과,,4.93
가천대학교,15,간호학과,,4.1
가천대학교,15,경제학과,,4.93
가천대학교,15,금융·빅데이터학부,,4.02
가천대학교,15,유아교육학과,,5.03
가천대학교,16,금융·빅데이터학부,,3.17
가천대학교,16,스마트팩토리전공,,4.95
가천대학교,16,시스템반도체학과,,5.7
가천대학교,16,회계세무학과,,5.35
가천대학교,17,스마트보안학과,,5.22
가천대학교,18,경영학과,,2.76
가천대학교,20,인공지능학과,,2.81
가천대학교,20,전기공학과,,5.09
가천대학교,20,컴퓨터공학과,,2.74
가천대학교,21,도시계획·조경학부,,5.01
가천대학교,22,법과대학,,2.84
가천대학교,26,금융·빅데이터학부,,5.2
가천대학교,26,기계공학부,,2.93
가천대학교,26,법과대학,,3.8
가천대학교,28,기계공학부,,4.11
가천대학교,28,바이오로직스학과,,4.75
가천대학교,30,AI인문대학,,4.28
가천대학교,30,경영학과,,3.88
가천대학교,30,화공생명배터리공학부,,2.77
가천대학교,321,자유전공,,4.48
가천대학교,33,건축학부,,5.16
가천대학교,33,의예과,,2.16
가천대학교,36,화공생명배터리공학부,,3.7
가천대학교,40,의예과,,3.31
가천대학교,40,인공지능학과,,5.32
가천대학교,40,컴퓨터공학과,,5.25
가천대학교,44,법과대학,,4.67
가천대학교,5,미디어커뮤니케이션학과,,2.32
가천대학교,5,운동재활학과,,4.0
가천대학교,5,한의예과,,1.12
가천대학교,50,경영학과,,5.37
가천대학교,51,기계공학부,,5.18
가천대학교,58,화공생명배터리공학부,,4.47
가천대학교,6,물리치료학과,,3.65
가천대학교,6,바이오나노학과,,3.4
가천대학교,6,방사선학과,,4.08
가천대학교,6,사회복지학과,,3.17
가천대학교,6,생명과학과,,3.93
가천대학교,6,식품생명공학과,,3.52
가천대학교,6,식품영양학과,,3.7
가천대학교,6,신소재공학과,,3.52
가천대학교,6,심리학과,,2.35
가천대학교,6,유아교육학과,,3.21
가천대학교,6,응급구조학과,,4.86
가천대학교,6,의공학과,,3.83
가천대학교,6,의료산업경영학과,,3.75
가천대학교,6,토목환경공학과,,3.68
가천대학교,6,패션산업학과,,4.06
가천대학교,61,반도체대학,,4.93
가천대학교,7,경제학과,,2.8
가천대학교,7,관광경영학과,,3.0
가천대학교,7,도시계획·조경학부,,4.22
가천대학교,7,바이오나노학과,,3.16
가천대학교,7,반도체물리학과,,3.84
가천대학교,7,사회복지학과,,3.71
가천대학교,7,생명과학과,,3.41
가천대학교,7,스마트시티학과,,4.61
가천대학교,7,스마트팩토리전공,,4.05
가천대학교,7,식품생명공학과,,2.68
가천대학교,7,신소재공학과,,3.2
가천대학교,7,응용통계학과,,4.12
가천대학교,7,의료산업경영학과,,3.14
가천대학교,7,클라우드공학과,,3.58
가천대학교,7,토목환경공학과,,2.84
가천대학교,7,패션산업학과,,4.33
